Restaurant_Name,Web_Link,Locality,Sponsored,Ratings_out_of_5,Number of votes,Phone_number,Cuisines,Charges_for_two,payment_modes,Rest_timming,Detail_address,5_star_review_percentage,4_star_review_percentage,3_star_review_percentage,2_star_review_percentage,1_star_review_percentage,Wine and Beer,Dance Floor,Lunch Menu,Outdoor Seating,Seaside,4/5 Star,Free Parking,Pet Friendly,Bulk Orders Accepted,Gaming Are,City View,Vegetarian Only,Brunch,Live Music,Wheelchair Accessible,Home Delivery,Celebrity Frequented,Pre-Ordering Required,Pool Table,Keto Options,Wifi,Sports TV,Wine Tasting,Beer,Restricted Entry,Variable Menu,Serves Non Veg,Table booking for Groups,Poolside,Home Baker,Wine,Buffet,Board Games,Vegan Options,Table Reservation Not Required,Table reservation required,Rooftop,BYOB,Egg Preparations,Live Sports Screening,Luxury Dining,Seating Not Available,Desserts and Bakes,Card Upon Delivery,Serves Jain Food,Mall Parking,Available for Functions,Gastro Pub,Live Entertainment,Sugar Free Options,Couple Entry Only,Above 18 Only,Drive in,Drive Thru,Valet Parking Available,Indoor Seating,Free Wifi,Nightlife,Serves Cocktails,Kid Friendly,Craft Beer,All Day Breakfast,Gluten Free Options,Group Meal,Table booking not available,Full Bar Available,Members Only,Standing Tables,Karaoke,Entry Fee,Self Service,Delivery Only,LGBTQIA Friendly,No Alcohol Available,Unlimited Pizz,Private Dining Area Available,Smoking Are,Table booking recommended,Resto Bar,Serves Alcohol,Breakfast,Catering Available,Disabled Friendly,Serves Halal,Takeaway Only,BYOB Only,spam_review
Linkin Barrel,https://www.zomato.com/pune/linkin-barrel-baner,Baner,"Bar, Casual Dining",4.3,1135  votes,080 46971806,"Continental, Modern Indian, Italian, North Indian","₹1,300",Cash and Cards accepted,4pm – 12midnight,"A-501, A Wing, The Capital Building, Baner-Pashan Link Road, Baner, Pune",44%,38%,9%,3%,6%,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,46
Fly High,https://www.zomato.com/pune/fly-high-hinjawadi,Hinjawadi,"Bar, Casual Dining",4.3,866  votes,080 46971351,"Continental, Italian, Chinese, North Indian","₹2,000",Cash and Cards accepted,3pm – 1:30am,"Survey 21/5, Besides Hotel Fortune Inn Exotica, Hinjawadi, Pune",64%,18%,4%,3%,11%,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,30
Thikana,https://www.zomato.com/pune/thikana-hinjawadi,Hinjawadi,"Bar, Casual Dining",4,1971  votes,080 46971913,"Bar Food, North Indian, Fast Food","₹1,500",Cash and Cards accepted,12noon – 1:30am,"Survey 42/ 1, 49/3/ 49/3 48/4, Shop 401-403, Unit 401, 403, White Square Building, Hinjawadi - Wakad Road, Hinjawadi, Pune",44%,32%,9%,4%,11%,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,199
Cuba Libre,https://www.zomato.com/pune/cuba-libre-wakad,Wakad,"Bar, Casual Dining",4.4,134  votes,080 46971271,"Finger Food, Continental, Italian, North Indian","₹2,200",Cash and Cards accepted,12noon – 1am,"6th Floor, Cross Roads, Bhumkar Chowk, Wakad, Pune",84%,10%,1%,1%,4%,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2
Ministry Of Barbeque,https://www.zomato.com/pune/ministry-of-barbeque-wakad,Wakad,Casual Dining,4.2,Based on 362 votes,+91 9088697667 +91 9833124979,"North Indian, Continental","₹1,000","Cash,Cards and Digital Payments accepted","12noon – 3:30pm, 7pm – 11pm","Datta Mandir Road, Shankar Kalat Nagar, Wakad, Pune",60%,22%,5%,3%,10%,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anna Idli,https://www.zomato.com/pune/anna-idli-baner,Baner,Casual Dining,4.4,2931  votes,+91 7038779928,"South Indian, Fast Food",₹400,Cash and Cards accepted,7am – 10:30pm,"Opposite Aman Honda Showroom, Baner Road, Baner, Pune",49%,30%,9%,4%,8%,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,86
Azzurro,https://www.zomato.com/pune/azzurro-baner,Baner,"Pub, Casual Dining",4,938  votes,080 46971185,"Continental, Asian, North Indian, Mughlai","₹1,600",Cash and Cards accepted,"12midnight – 3am, 12noon – 12midnight","Survey 50/21, Near Balewadi Stadium, Mahalunge-Nande Road, Mhalunge, Baner, Pune",47%,25%,10%,4%,14%,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,32
Gong,https://www.zomato.com/pune/gong-baner,Baner,Casual Dining,4.7,1647  votes,+91 8806577377 +91 9370579604,"Asian, Thai, Sushi","₹1,700",Cash and Cards accepted,"12noon – 3pm, 7pm – 12midnight","Shop 22/23, Balewadi High Street, Cummins India Office Campus, Baner- Balewadi Link Road, Baner, Pune",62%,26%,6%,3%,3%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,34
Marine Drive,https://www.zomato.com/pune/marine-drive-hinjawadi,Hinjawadi,"Casual Dining, Bar",3.9,1303  votes,+91 9850882266 +91 7888000974,"Continental, North Indian, Italian, Asian","₹1,500",Cash and Cards accepted,5pm – 1:30am,"Survey 28/1/4/5/6, Suratwala Mark Plazzo, Wakad Road, Hinjawadi, Pune",42%,28%,13%,6%,11%,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,89
Highland,https://www.zomato.com/pune/highland-baner,Baner,"Bar, Casual Dining",4.1,773  votes,+91 9588641814 +91 9858581717,"Bar Food, North Indian, Mughlai, Chinese","₹1,200",Cash and Cards accepted,4pm – 12:30am,"301, Near Planet Fashion Showroom, Vasukamal, Balewadi Chowk, Baner, Pune",52%,22%,10%,5%,11%,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,37
